,DATE,FORECLOSURE,CAUR,Average DGS,DFF,NASDAQCOM,ZHVI,MORT30US,BofA_Yield_Index_PCH,CA_Consumer_Price_Index
75,01/2020,1569,4.1,1.7576190476190474,1.5506451612903227,5.18043,0.4655,3.624,1.26101,258.682
76,09/2020,102,10.3,0.6795238095238095,0.09,-1.10246,1.48596,2.89,-0.06684,260.19
77,12/2020,103,9.2,0.9336363636363636,0.09,6.99133,1.14854,2.684,2.24744,261.564
78,06/2020,144,14.1,0.7286363636363636,0.0776666666666666,8.06439,-0.18903,3.1625,5.01153,257.217
79,05/2020,93,16.1,0.674,0.05,9.80714,-0.01789,3.2325,3.14480,255.944
80,08/2020,97,11.9,0.65,0.0951612903225806,6.78511,1.17584,2.935,2.70334,259.58
81,03/2020,164,5.5,0.8699999999999997,0.652258064516129,-17.48244,0.81344,3.45,-11.04088,258.165
82,11/2020,115,9.2,0.8700000000000001,0.0863333333333333,3.14141,1.28503,2.765,2.26807,260.721
83,10/2020,73,9.5,0.7871428571428571,0.09,3.1253,1.41496,2.834,0.59938,260.352
84,12/2021,94,5.8,1.465,0.0796774193548387,-2.15303,0.93503,3.098,0.23768,280.126
85,01/2021,1133,8.8,1.0810526315789473,0.0851612903225806,4.4976,1.02281,2.735,1.08780,262.2
86,03/2021,174,8.4,1.6108695652173912,0.0696774193548387,-4.13901,1.26088,3.0825,-0.55995,265.028
87,09/2021,68,6.4,1.3747619047619046,0.0793333333333333,1.12423,1.39428,2.9,0.94921,274.214
88,10/2021,114,6.1,1.5825,0.0790322580645161,-0.962,0.69872,3.0675,-0.45028,276.59
89,07/2021,43,7.4,1.3185714285714287,0.0980645161290322,3.84406,2.76775,2.868,0.87781,272.184
90,08/2021,56,7.0,1.2831818181818182,0.092258064516129,1.48537,1.98385,2.8425,-0.02646,273.092
91,11/2021,96,5.8,1.5595,0.0796666666666666,6.29021,0.76025,3.0675,-0.01287,278.524
92,02/2021,137,8.6,1.2578947368421052,0.0757142857142857,4.17695,1.15288,2.81,0.79495,263.346
93,06/2021,57,7.9,1.5190909090909088,0.078,4.28688,2.63157,2.975,0.94626,270.955
94,04/2021,104,8.3,1.6349999999999996,0.069,5.55575,1.63163,3.06,1.13156,266.727
95,05/2021,58,7.9,1.6209999999999998,0.0580645161290322,-2.75355,2.23433,2.9625,0.39517,268.599
96,05/2022,170,4.3,2.8980952380952383,0.765483870967742,-11.67996,1.39058,5.23,-3.22395,291.474
97,01/2022,875,5.7,1.764,0.0793548387096774,-6.09427,1.3899,3.445,-0.56375,281.933
98,06/2022,196,4.2,3.1433333333333344,1.205,-3.4727,0.29177,5.522,-2.03930,295.328
99,02/2022,174,5.3,1.9342105263157887,0.08,-4.35368,1.62904,3.7625,-2.46499,284.182
100,03/2022,251,4.8,2.1278260869565218,0.2009677419354838,-1.98194,1.98193,4.172,-1.34038,287.708
101,04/2022,139,4.6,2.7475,0.33,-1.68168,1.87749,4.9825,-1.61209,288.663
102,07/2022,147,3.9,2.8960000000000004,1.6758064516129032,1.78399,-0.40032,5.4125,-0.40364,295.271
103,08/2022,214,4.1,2.8978260869565213,2.33,8.15331,-1.15309,5.2225,3.38678,295.62
104,09/2022,209,3.9,3.5190476190476194,2.555,-9.28708,-0.93387,6.112,-3.70693,296.761
